,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year_end,year_start
132,59.0,55.0,,BGR,p,,,male,0.026000000000000002,,0.076,0.0,1.0,,-4.250428027039955,2003.0,2003.0
133,54.0,50.0,,BGR,p,,,male,0.008,,0.025,0.0,1.0,,-4.250428027039955,2003.0,2003.0
134,49.0,45.0,,BGR,p,,,male,0.015,,0.049,0.0,1.0,,-4.250428027039955,2003.0,2003.0
135,44.0,40.0,,BGR,p,,,male,0.011000000000000001,,0.018000000000000002,0.0,1.0,,-4.250428027039955,2003.0,2003.0
136,39.0,35.0,,BGR,p,,,male,0.01,,0.02,0.0,1.0,,-4.250428027039955,2003.0,2003.0
137,34.0,30.0,,BGR,p,,,male,0.011000000000000001,,0.018000000000000002,0.0,1.0,,-4.250428027039955,2003.0,2003.0
138,29.0,25.0,,BGR,p,,,male,0.022000000000000002,,0.055999999999999994,0.0,1.0,,-4.250428027039955,2003.0,2003.0
139,24.0,20.0,,BGR,p,,,male,0.009000000000000001,,0.013000000000000001,0.0,1.0,,-4.250428027039955,2003.0,2003.0
140,18.0,18.0,,BGR,p,21.0,,male,-0.99,,0.0,0.0,1.0,,-4.250428027039955,2003.0,2003.0
141,84.0,80.0,,BGR,p,,,male,0.027999999999999997,,0.047,0.0,0.0,,-4.250428027039955,2003.0,2003.0
142,79.0,75.0,,BGR,p,,,male,0.027000000000000003,,0.051,0.0,0.0,,-4.250428027039955,2003.0,2003.0
143,74.0,70.0,,BGR,p,,,male,0.008,,0.018000000000000002,0.0,0.0,,-4.250428027039955,2003.0,2003.0
144,69.0,65.0,,BGR,p,,,male,0.006999999999999999,,0.01,0.0,0.0,,-4.250428027039955,2003.0,2003.0
145,64.0,60.0,,BGR,p,,,male,0.016,,0.032,0.0,0.0,,-4.250428027039955,2003.0,2003.0
146,59.0,55.0,,BGR,p,,,male,0.025,,0.068,0.0,0.0,,-4.250428027039955,2003.0,2003.0
147,54.0,50.0,,BGR,p,,,male,0.006999999999999999,,0.013999999999999999,0.0,0.0,,-4.250428027039955,2003.0,2003.0
148,49.0,45.0,,BGR,p,,,male,0.008,,0.013999999999999999,0.0,0.0,,-4.250428027039955,2003.0,2003.0
149,44.0,40.0,,BGR,p,,,male,0.011000000000000001,,0.013999999999999999,0.0,0.0,,-4.250428027039955,2003.0,2003.0
150,39.0,35.0,,BGR,p,,,male,0.008,,0.015,0.0,0.0,,-4.250428027039955,2003.0,2003.0
151,34.0,30.0,,BGR,p,,,male,0.009000000000000001,,0.011000000000000001,0.0,0.0,,-4.250428027039955,2003.0,2003.0
152,29.0,25.0,,BGR,p,,,male,0.018000000000000002,,0.04,0.0,0.0,,-4.250428027039955,2003.0,2003.0
153,24.0,20.0,,BGR,p,156.0,,male,-0.99,,0.0,0.0,0.0,,-4.250428027039955,2003.0,2003.0
154,18.0,18.0,,BGR,p,21.0,,male,-0.99,,0.0,0.0,0.0,,-4.250428027039955,2003.0,2003.0
