,area,pop,sex,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year
188,THA,32718.847857700006,male,0.0,0.0,-1.8581073711623646,-2.0331170653323025,2005.0
189,THA,33783.55050200002,female,0.0,0.0,-1.8581073711623646,-2.0331170653323025,2005.0
190,THA,33947.391672900005,male,0.0,0.0,-2.0033059224867964,-2.027974301405764,2010.0
191,THA,35123.170107999984,female,0.0,0.0,-2.0033059224867964,-2.027974301405764,2010.0
192,TLS,389.24087329999975,male,0.0,0.0,,,1990.0
193,TLS,368.74658080000006,female,0.0,0.0,,,1990.0
194,TLS,519.1623041999998,male,0.0,0.0,,-1.355244375306931,2005.0
195,TLS,498.56591930000025,female,0.0,0.0,,-1.355244375306931,2005.0
196,TLS,575.1396876999996,male,0.0,0.0,,-1.7319335844087258,2010.0
197,TLS,553.5684663000002,female,0.0,0.0,,-1.7319335844087258,2010.0
198,VNM,32839.308837100005,male,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
199,VNM,34516.75968520001,female,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
200,VNM,40997.0082009,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
201,VNM,42222.251885199985,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
202,VNM,43414.67931249999,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
203,VNM,44429.55306100001,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
204,AUS,8489.5208326,male,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
205,AUS,8535.411162199996,female,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
206,AUS,10123.766837100002,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
207,AUS,10262.552895999994,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
208,AUS,10714.898280200003,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
209,AUS,10826.481708000001,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
210,NZL,1671.6858521000001,male,0.0,0.0,,-4.250428027039955,1990.0
211,NZL,1722.8637437,female,0.0,0.0,,-4.250428027039955,1990.0
212,NZL,2025.6405685,male,0.0,0.0,,-4.250428027039955,2005.0
213,NZL,2108.9136617999998,female,0.0,0.0,,-4.250428027039955,2005.0
214,NZL,2144.1369129000013,male,0.0,0.0,,-4.250428027039955,2010.0
215,NZL,2222.8897500999997,female,0.0,0.0,,-4.250428027039955,2010.0
216,ATG,30.38821970000001,male,0.0,0.0,,-4.250428027039955,1990.0
217,ATG,30.748842800000006,female,0.0,0.0,,-4.250428027039955,1990.0
218,ATG,39.69662459999999,male,0.0,0.0,,-4.250428027039955,2005.0
